heldout_subject,n_train,n_test,train_classes,test_classes,regression_mode,reg_n,reg_r,reg_p,reg_spearman,reg_spearman_p,reg_slope,reg_intercept,lda_acc,lda_bal_acc,lda_f1_macro,confusion_labels,confusion_matrix,classification_report
S01,2381,75,"[""L0"", ""L2"", ""L3""]","[""L0"", ""L2"", ""L3""]",linear,2381,0.09516290088778727,3.293027897559792e-06,0.09472253596852938,3.6563249062456433e-06,2.2911420807207157,53.26713865531468,0.6666666666666666,0.6666666666666666,0.5555555555555555,"[""L0"", ""L2"", ""L3""]","[[25, 0, 0], [0, 0, 25], [0, 0, 25]]","{""L0"": {""precision"": 1.0, ""recall"": 1.0, ""f1-score"": 1.0, ""support"": 25.0}, ""L2"": {""precision"": 0.0, ""recall"": 0.0, ""f1-score"": 0.0, ""support"": 25.0}, ""L3"": {""precision"": 0.5, ""recall"": 1.0, ""f1-score"": 0.6666666666666666, ""support"": 25.0}, ""accuracy"": 0.6666666666666666, ""macro avg"": {""precision"": 0.5, ""recall"": 0.6666666666666666, ""f1-score"": 0.5555555555555555, ""support"": 75.0}, ""weighted avg"": {""precision"": 0.5, ""recall"": 0.6666666666666666, ""f1-score"": 0.5555555555555555, ""support"": 75.0}}"
S02,2382,74,"[""L0"", ""L2"", ""L3""]","[""L0"", ""L2"", ""L3""]",linear,2382,0.09853511721841754,1.4479825919117632e-06,0.09377750135859768,4.548922639633936e-06,2.302331039479589,53.457690276866884,0.33783783783783783,0.3333333333333333,0.16835016835016836,"[""L0"", ""L2"", ""L3""]","[[25, 0, 0], [25, 0, 0], [24, 0, 0]]","{""L0"": {""precision"": 0.33783783783783783, ""recall"": 1.0, ""f1-score"": 0.5050505050505051, ""support"": 25.0}, ""L2"": {""precision"": 0.0, ""recall"": 0.0, ""f1-score"": 0.0, ""support"": 25.0}, ""L3"": {""precision"": 0.0, ""recall"": 0.0, ""f1-score"": 0.0, ""support"": 24.0}, ""accuracy"": 0.33783783783783783, ""macro avg"": {""precision"": 0.11261261261261261, ""recall"": 0.3333333333333333, ""f1-score"": 0.16835016835016836, ""support"": 74.0}, ""weighted avg"": {""precision"": 0.1141344046749452, ""recall"": 0.33783783783783783, ""f1-score"": 0.17062517062517063, ""support"": 74.0}}"
S03,2382,74,"[""L0"", ""L2"", ""L3""]","[""L0"", ""L2"", ""L3""]",linear,2382,0.10266144494909189,5.137406245160483e-07,0.10263873567944477,5.167359268322036e-07,2.4225176409578384,52.99396904280028,0.33783783783783783,0.3333333333333333,0.16835016835016836,"[""L0"", ""L2"", ""L3""]","[[25, 0, 0], [24, 0, 0], [25, 0, 0]]","{""L0"": {""precision"": 0.33783783783783783, ""recall"": 1.0, ""f1-score"": 0.5050505050505051, ""support"": 25.0}, ""L2"": {""precision"": 0.0, ""recall"": 0.0, ""f1-score"": 0.0, ""support"": 24.0}, ""L3"": {""precision"": 0.0, ""recall"": 0.0, ""f1-score"": 0.0, ""support"": 25.0}, ""accuracy"": 0.33783783783783783, ""macro avg"": {""precision"": 0.11261261261261261, ""recall"": 0.3333333333333333, ""f1-score"": 0.16835016835016836, ""support"": 74.0}, ""weighted avg"": {""precision"": 0.1141344046749452, ""recall"": 0.33783783783783783, ""f1-score"": 0.17062517062517063, ""support"": 74.0}}"
S04,2382,74,"[""L0"", ""L2"", ""L3""]","[""L0"", ""L2"", ""L3""]",linear,2382,0.11304218909001437,3.166884047075585e-08,0.10533896333765667,2.5664139556029327e-07,2.6695569451611267,52.129519711384354,0.5945945945945946,0.5905555555555556,0.5660962195794729,"[""L0"", ""L2"", ""L3""]","[[25, 0, 0], [7, 7, 10], [1, 12, 12]]","{""L0"": {""precision"": 0.7575757575757576, ""recall"": 1.0, ""f1-score"": 0.8620689655172413, ""support"": 25.0}, ""L2"": {""precision"": 0.3684210526315789, ""recall"": 0.2916666666666667, ""f1-score"": 0.32558139534883723, ""support"": 24.0}, ""L3"": {""precision"": 0.5454545454545454, ""recall"": 0.48, ""f1-score"": 0.5106382978723404, ""support"": 25.0}, ""accuracy"": 0.5945945945945946, ""macro avg"": {""precision"": 0.557150451887294, ""recall"": 0.5905555555555556, ""f1-score"": 0.5660962195794729, ""support"": 74.0}, ""weighted avg"": {""precision"": 0.5597008491745333, ""recall"": 0.5945945945945946, ""f1-score"": 0.569346419906914, ""support"": 74.0}}"
S05,2382,74,"[""L0"", ""L2"", ""L3""]","[""L0"", ""L2"", ""L3""]",linear,2382,0.1087550238069964,1.0327128245344975e-07,0.11005614195683236,7.247836436970184e-08,2.5923718515717256,52.61381904578369,0.6351351351351351,0.6266666666666666,0.5386225266362253,"[""L0"", ""L2"", ""L3""]","[[23, 2, 0], [0, 0, 24], [0, 1, 24]]","{""L0"": {""precision"": 1.0, ""recall"": 0.92, ""f1-score"": 0.9583333333333334, ""support"": 25.0}, ""L2"": {""precision"": 0.0, ""recall"": 0.0, ""f1-score"": 0.0, ""support"": 24.0}, ""L3"": {""precision"": 0.5, ""recall"": 0.96, ""f1-score"": 0.6575342465753424, ""support"": 25.0}, ""accuracy"": 0.6351351351351351, ""macro avg"": {""precision"": 0.5, ""recall"": 0.6266666666666666, ""f1-score"": 0.5386225266362253, ""support"": 74.0}, ""weighted avg"": {""precision"": 0.5067567567567568, ""recall"": 0.6351351351351351, ""f1-score"": 0.5459012094286066, ""support"": 74.0}}"
S06,2382,74,"[""L0"", ""L2"", ""L3""]","[""L0"", ""L2"", ""L3""]",linear,2382,0.1020048090297985,6.074796500414431e-07,0.09816328915304925,1.5865508370767135e-06,2.38577421188056,53.144178382771635,0.4189189189189189,0.4166666666666667,0.3049129764265257,"[""L0"", ""L2"", ""L3""]","[[25, 0, 0], [18, 6, 0], [21, 4, 0]]","{""L0"": {""precision"": 0.390625, ""recall"": 1.0, ""f1-score"": 0.5617977528089888, ""support"": 25.0}, ""L2"": {""precision"": 0.6, ""recall"": 0.25, ""f1-score"": 0.35294117647058826, ""support"": 24.0}, ""L3"": {""precision"": 0.0, ""recall"": 0.0, ""f1-score"": 0.0, ""support"": 25.0}, ""accuracy"": 0.4189189189189189, ""macro avg"": {""precision"": 0.3302083333333333, ""recall"": 0.4166666666666667, ""f1-score"": 0.3049129764265257, ""support"": 74.0}, ""weighted avg"": {""precision"": 0.3265625, ""recall"": 0.4189189189189189, ""f1-score"": 0.30426394669620055, ""support"": 74.0}}"
S07,2346,110,"[""L0"", ""L2"", ""L3""]","[""L0"", ""L2"", ""L3""]",linear,2346,0.12284705892682513,2.3781592092835863e-09,0.1168816474374808,1.3653672916715261e-08,2.985995732385452,52.457057043650714,0.2909090909090909,0.2882882882882883,0.227688651218063,"[""L0"", ""L2"", ""L3""]","[[11, 0, 26], [21, 0, 15], [16, 0, 21]]","{""L0"": {""precision"": 0.22916666666666666, ""recall"": 0.2972972972972973, ""f1-score"": 0.25882352941176473, ""support"": 37.0}, ""L2"": {""precision"": 0.0, ""recall"": 0.0, ""f1-score"": 0.0, ""support"": 36.0}, ""L3"": {""precision"": 0.3387096774193548, ""recall"": 0.5675675675675675, ""f1-score"": 0.42424242424242425, ""support"": 37.0}, ""accuracy"": 0.2909090909090909, ""macro avg"": {""precision"": 0.1892921146953405, ""recall"": 0.2882882882882883, ""f1-score"": 0.227688651218063, ""support"": 110.0}, ""weighted avg"": {""precision"": 0.19101295210166175, ""recall"": 0.2909090909090909, ""f1-score"": 0.2297585480473181, ""support"": 110.0}}"
S08,2345,111,"[""L0"", ""L2"", ""L3""]","[""L0"", ""L2"", ""L3""]",linear,2345,0.17022272127350163,1.0471574516765613e-16,0.17175680713311856,5.5114470050594235e-17,4.027362263758524,53.03486769803788,0.34234234234234234,0.3423423423423424,0.1991869918699187,"[""L0"", ""L2"", ""L3""]","[[2, 0, 35], [1, 0, 36], [1, 0, 36]]","{""L0"": {""precision"": 0.5, ""recall"": 0.05405405405405406, ""f1-score"": 0.0975609756097561, ""support"": 37.0}, ""L2"": {""precision"": 0.0, ""recall"": 0.0, ""f1-score"": 0.0, ""support"": 37.0}, ""L3"": {""precision"": 0.3364485981308411, ""recall"": 0.972972972972973, ""f1-score"": 0.5, ""support"": 37.0}, ""accuracy"": 0.34234234234234234, ""macro avg"": {""precision"": 0.27881619937694707, ""recall"": 0.3423423423423424, ""f1-score"": 0.1991869918699187, ""support"": 111.0}, ""weighted avg"": {""precision"": 0.278816199376947, ""recall"": 0.34234234234234234, ""f1-score"": 0.1991869918699187, ""support"": 111.0}}"
S09,2381,75,"[""L0"", ""L2"", ""L3""]","[""L0"", ""L2"", ""L3""]",linear,2381,0.1033174892488395,4.365082063864098e-07,0.09675965400141058,2.2445618464396312e-06,2.464898362570797,53.088174121493005,0.3333333333333333,0.3333333333333333,0.16666666666666666,"[""L0"", ""L2"", ""L3""]","[[25, 0, 0], [25, 0, 0], [25, 0, 0]]","{""L0"": {""precision"": 0.3333333333333333, ""recall"": 1.0, ""f1-score"": 0.5, ""support"": 25.0}, ""L2"": {""precision"": 0.0, ""recall"": 0.0, ""f1-score"": 0.0, ""support"": 25.0}, ""L3"": {""precision"": 0.0, ""recall"": 0.0, ""f1-score"": 0.0, ""support"": 25.0}, ""accuracy"": 0.3333333333333333, ""macro avg"": {""precision"": 0.1111111111111111, ""recall"": 0.3333333333333333, ""f1-score"": 0.16666666666666666, ""support"": 75.0}, ""weighted avg"": {""precision"": 0.11111111111111109, ""recall"": 0.3333333333333333, ""f1-score"": 0.16666666666666666, ""support"": 75.0}}"
S10,2345,111,"[""L0"", ""L2"", ""L3""]","[""L0"", ""L2"", ""L3""]",linear,2345,0.10791317355669586,1.6212079858034013e-07,0.1014031797222617,8.630633788153673e-07,2.6344973786244212,52.59068632787321,0.3333333333333333,0.3333333333333333,0.16666666666666666,"[""L0"", ""L2"", ""L3""]","[[37, 0, 0], [37, 0, 0], [37, 0, 0]]","{""L0"": {""precision"": 0.3333333333333333, ""recall"": 1.0, ""f1-score"": 0.5, ""support"": 37.0}, ""L2"": {""precision"": 0.0, ""recall"": 0.0, ""f1-score"": 0.0, ""support"": 37.0}, ""L3"": {""precision"": 0.0, ""recall"": 0.0, ""f1-score"": 0.0, ""support"": 37.0}, ""accuracy"": 0.3333333333333333, ""macro avg"": {""precision"": 0.1111111111111111, ""recall"": 0.3333333333333333, ""f1-score"": 0.16666666666666666, ""support"": 111.0}, ""weighted avg"": {""precision"": 0.1111111111111111, ""recall"": 0.3333333333333333, ""f1-score"": 0.16666666666666666, ""support"": 111.0}}"
